customer_id,order_date,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
CUST00039,2025-09-15,15,3,1598.49,5,1,3,9,Potential Loyalists
CUST00040,2025-04-29,154,1,634.73,1,1,1,3,Lost Customers
CUST00041,2025-08-07,54,4,1911.8600000000001,3,1,3,7,At Risk
CUST00042,2025-07-05,87,9,7523.74,2,3,5,10,Loyal Customers
CUST00043,2025-09-06,24,1,363.01,4,1,1,6,At Risk
CUST00044,2025-07-20,72,3,2724.09,3,1,4,8,Potential Loyalists
CUST00045,2025-06-26,96,1,413.75,2,1,1,4,Lost Customers
CUST00046,2025-05-26,127,1,489.87,2,1,1,4,Lost Customers
CUST00047,2025-03-10,204,1,764.43,1,1,1,3,Lost Customers
CUST00048,2025-07-31,61,4,2450.45,3,1,3,7,At Risk
CUST00049,2025-09-22,8,1,380.83,5,1,1,7,At Risk
CUST00050,2025-09-30,0,3,2466.39,5,1,3,9,Potential Loyalists
CUST00051,2025-03-04,210,4,4444.3,1,1,5,7,At Risk
CUST00052,2025-08-06,55,3,2807.14,3,1,4,8,Potential Loyalists
CUST00053,2025-09-05,25,4,4192.59,4,1,5,10,Loyal Customers
CUST00054,2025-09-24,6,1,489.85,5,1,1,7,At Risk
CUST00055,2025-09-27,3,3,1308.35,5,1,2,8,Potential Loyalists
CUST00056,2025-09-21,9,4,3530.41,5,1,4,10,Loyal Customers
CUST00057,2025-05-17,136,2,2510.83,2,1,3,6,At Risk
CUST00058,2025-08-19,42,4,2451.54,4,1,3,8,Potential Loyalists
CUST00059,2025-09-28,2,3,2852.63,5,1,4,10,Loyal Customers
CUST00060,2025-05-08,145,1,293.22,2,1,1,4,Lost Customers
CUST00061,2025-09-16,14,4,1966.0900000000001,5,1,3,9,Potential Loyalists
CUST00062,2025-09-09,21,4,2805.19,4,1,4,9,Potential Loyalists
CUST00063,2025-02-26,216,1,397.69,1,1,1,3,Lost Customers
CUST00064,2025-09-28,2,1,654.93,5,1,1,7,At Risk
CUST00065,2025-09-24,6,1,1911.67,5,1,3,9,Potential Loyalists
CUST00066,2024-11-14,320,5,4598.95,1,2,5,8,Potential Loyalists
CUST00067,2025-07-29,63,2,1246.44,3,1,2,6,At Risk
CUST00068,2024-10-19,346,3,2123.66,1,1,3,5,Lost Customers
CUST00069,2025-09-01,29,2,874.47,4,1,2,7,At Risk
CUST00070,2025-08-23,38,1,542.98,4,1,1,6,At Risk
CUST00071,2025-08-29,32,1,2062.5,4,1,3,8,Potential Loyalists
CUST00072,2025-07-02,90,4,2587.02,2,1,4,7,At Risk
CUST00073,2025-09-22,8,5,4077.07,5,2,5,12,Loyal Customers
CUST00074,2025-09-23,7,4,2523.65,5,1,3,9,Potential Loyalists
CUST00075,2025-09-27,3,9,6791.61,5,3,5,13,Champions
CUST00076,2025-09-10,20,2,1385.27,5,1,2,8,Potential Loyalists
CUST00077,2025-06-13,109,1,394.32,2,1,1,4,Lost Customers
CUST00078,2025-05-14,139,1,894.45,2,1,2,5,Lost Customers
CUST00079,2025-03-23,191,1,619.57,1,1,1,3,Lost Customers
CUST00080,2025-08-11,50,3,2563.41,3,1,4,8,Potential Loyalists
CUST00081,2025-09-11,19,8,5311.16,5,3,5,13,Champions
CUST00082,2025-01-19,254,3,1671.25,1,1,3,5,Lost Customers
CUST00083,2025-07-03,89,2,806.87,2,1,2,5,Lost Customers
CUST00084,2025-04-16,167,1,1273.18,1,1,2,4,Lost Customers
CUST00085,2025-09-16,14,1,1257.8,5,1,2,8,Potential Loyalists
CUST00086,2025-09-09,21,5,2195.41,4,2,3,9,Potential Loyalists
CUST00087,2025-08-17,44,1,933.58,4,1,2,7,At Risk
CUST00088,2025-06-24,98,12,6774.5,2,4,5,11,Loyal Customers
CUST00089,2025-04-18,165,2,2825.75,1,1,4,6,At Risk
CUST00090,2025-07-12,80,4,1966.31,3,1,3,7,At Risk
CUST00091,2025-07-02,90,4,3726.87,2,1,4,7,At Risk
CUST00092,2025-09-09,21,1,430.85,4,1,1,6,At Risk
CUST00093,2025-07-07,85,1,759.64,3,1,1,5,Lost Customers
CUST00094,2025-03-31,183,4,3557.43,1,1,4,6,At Risk
CUST00095,2025-07-27,65,1,372.65,3,1,1,5,Lost Customers
CUST00096,2025-07-31,61,3,1563.75,3,1,3,7,At Risk
CUST00097,2025-09-29,1,7,4703.46,5,2,5,12,Loyal Customers
CUST00098,2025-03-30,184,2,1843.57,1,1,3,5,Lost Customers
CUST00099,2025-05-09,144,5,3410.87,2,2,4,8,Potential Loyalists
CUST00100,2025-07-22,70,1,372.37,3,1,1,5,Lost Customers
CUST00101,2025-06-14,108,5,3514.87,2,2,4,8,Potential Loyalists
CUST00102,2025-07-09,83,1,732.65,3,1,1,5,Lost Customers
CUST00103,2025-09-09,21,1,1469.96,4,1,2,7,At Risk
CUST00104,2025-06-29,93,1,955.63,2,1,2,5,Lost Customers
CUST00105,2025-08-15,46,1,2052.43,4,1,3,8,Potential Loyalists
CUST00106,2025-07-31,61,7,4352.11,3,2,5,10,Loyal Customers
CUST00107,2025-09-18,12,3,3548.15,5,1,4,10,Loyal Customers
CUST00108,2025-08-17,44,1,1074.5,4,1,2,7,At Risk
CUST00109,2025-06-30,92,5,3837.05,2,2,4,8,Potential Loyalists
CUST00110,2025-08-26,35,6,3922.07,4,2,4,10,Loyal Customers
CUST00111,2025-04-05,178,1,1135.09,1,1,2,4,Lost Customers
CUST00112,2025-09-30,0,8,5576.25,5,3,5,13,Champions
CUST00113,2025-09-02,28,2,1601.31,4,1,3,8,Potential Loyalists
CUST00114,2025-02-03,239,6,5133.53,1,2,5,8,Potential Loyalists
CUST00115,2025-04-24,159,1,596.54,1,1,1,3,Lost Customers
CUST00116,2025-05-10,143,6,5635.9,2,2,5,9,Potential Loyalists
CUST00117,2025-05-30,123,4,2534.33,2,1,3,6,At Risk
CUST00118,2025-09-03,27,1,689.56,4,1,1,6,At Risk
CUST00119,2025-07-23,69,3,2848.36,3,1,4,8,Potential Loyalists
CUST00120,2025-09-04,26,1,261.95,4,1,1,6,At Risk
CUST00121,2025-09-03,27,2,2496.0299999999997,4,1,3,8,Potential Loyalists
CUST00122,2025-06-16,106,2,2048.93,2,1,3,6,At Risk
CUST00123,2025-06-20,102,6,2989.07,2,2,4,8,Potential Loyalists
CUST00124,2025-03-20,194,4,2570.5,1,1,4,6,At Risk
CUST00125,2025-09-22,8,2,1698.4,5,1,3,9,Potential Loyalists
CUST00126,2025-08-04,57,2,1260.02,3,1,2,6,At Risk
CUST00127,2025-09-06,24,2,729.55,4,1,1,6,At Risk
CUST00128,2025-09-11,19,2,1716.68,5,1,3,9,Potential Loyalists
CUST00129,2025-07-09,83,3,3369.08,3,1,4,8,Potential Loyalists
CUST00130,2025-07-04,88,1,1272.47,2,1,2,5,Lost Customers
CUST00131,2025-07-25,67,6,6830.01,3,2,5,10,Loyal Customers
CUST00132,2025-06-05,117,5,4876.780000000001,2,2,5,9,Potential Loyalists
CUST00133,2025-08-07,54,8,5982.58,3,3,5,11,Loyal Customers
CUST00134,2025-08-26,35,5,4075.34,4,2,5,11,Loyal Customers
CUST00135,2024-11-01,333,4,2534.18,1,1,3,5,Lost Customers
CUST00136,2025-07-21,71,1,514.9,3,1,1,5,Lost Customers
CUST00137,2025-04-06,177,2,1035.87,1,1,2,4,Lost Customers
CUST00138,2025-07-31,61,1,905.11,3,1,2,6,At Risk
CUST00139,2025-09-02,28,2,1715.4,4,1,3,8,Potential Loyalists
CUST00140,2025-09-24,6,4,3768.34,5,1,4,10,Loyal Customers
CUST00141,2025-09-02,28,1,647.85,4,1,1,6,At Risk
CUST00142,2025-04-14,169,5,1880.0,1,2,3,6,At Risk
CUST00143,2025-08-29,32,6,7407.96,4,2,5,11,Loyal Customers
CUST00144,2025-07-06,86,9,6186.54,2,3,5,10,Loyal Customers
CUST00145,2025-08-31,30,1,502.35,4,1,1,6,At Risk
CUST00146,2025-06-14,108,5,5942.68,2,2,5,9,Potential Loyalists
CUST00147,2025-07-08,84,3,2809.3199999999997,3,1,4,8,Potential Loyalists
CUST00148,2025-09-26,4,4,3013.01,5,1,4,10,Loyal Customers
CUST00149,2025-09-22,8,1,787.94,5,1,2,8,Potential Loyalists
CUST00150,2025-08-16,45,3,1355.63,4,1,2,7,At Risk
CUST00151,2025-07-30,62,7,5530.69,3,2,5,10,Loyal Customers
CUST00152,2025-08-15,46,7,4989.280000000001,4,2,5,11,Loyal Customers
CUST00153,2025-09-27,3,1,977.12,5,1,2,8,Potential Loyalists
CUST00154,2025-09-20,10,8,7145.24,5,3,5,13,Champions
CUST00155,2025-09-28,2,3,2024.8,5,1,3,9,Potential Loyalists
CUST00156,2025-08-27,34,2,4241.75,4,1,5,10,Loyal Customers
CUST00157,2025-09-30,0,5,2269.91,5,2,3,10,Loyal Customers
CUST00158,2025-04-28,155,1,812.34,1,1,2,4,Lost Customers
CUST00159,2024-06-13,474,2,3713.77,1,1,4,6,At Risk
CUST00160,2025-04-06,177,2,1064.66,1,1,2,4,Lost Customers
CUST00161,2025-09-10,20,4,4490.9,5,1,5,11,Loyal Customers
CUST00162,2025-07-01,91,2,1194.5900000000001,2,1,2,5,Lost Customers
CUST00163,2025-07-22,70,1,275.41,3,1,1,5,Lost Customers
CUST00164,2025-02-20,222,5,4657.03,1,2,5,8,Potential Loyalists
CUST00165,2025-06-19,103,3,1825.77,2,1,3,6,At Risk
CUST00166,2025-09-15,15,1,1269.41,5,1,2,8,Potential Loyalists
CUST00167,2025-02-23,219,1,423.24,1,1,1,3,Lost Customers
CUST00168,2025-07-07,85,4,4159.16,3,1,5,9,Potential Loyalists
CUST00169,2025-02-20,222,1,1799.45,1,1,3,5,Lost Customers
CUST00170,2025-09-21,9,10,6759.48,5,3,5,13,Champions
CUST00171,2025-09-18,12,1,1077.78,5,1,2,8,Potential Loyalists
CUST00172,2025-09-22,8,7,4910.65,5,2,5,12,Loyal Customers
CUST00173,2025-07-13,79,5,1431.69,3,2,2,7,At Risk
CUST00174,2025-07-06,86,6,2361.28,2,2,3,7,At Risk
CUST00175,2025-08-02,59,4,3568.3199999999997,3,1,4,8,Potential Loyalists
CUST00176,2025-08-24,37,3,3830.31,4,1,4,9,Potential Loyalists
CUST00177,2025-07-10,82,2,1003.66,3,1,2,6,At Risk
CUST00178,2025-09-25,5,8,5602.76,5,3,5,13,Champions
CUST00179,2025-08-23,38,3,1585.62,4,1,3,8,Potential Loyalists
CUST00180,2025-06-26,96,2,1570.85,2,1,3,6,At Risk
CUST00181,2025-09-24,6,1,1107.73,5,1,2,8,Potential Loyalists
CUST00182,2025-08-30,31,1,305.3,4,1,1,6,At Risk
CUST00183,2025-05-01,152,3,3246.8900000000003,1,1,4,6,At Risk
CUST00184,2025-09-16,14,5,5072.85,5,2,5,12,Loyal Customers
CUST00185,2025-06-08,114,7,4179.18,2,2,5,9,Potential Loyalists
CUST00186,2025-08-20,41,1,714.65,4,1,1,6,At Risk
CUST00187,2025-05-04,149,3,1344.75,1,1,2,4,Lost Customers
CUST00188,2025-09-01,29,7,5810.17,4,2,5,11,Loyal Customers
CUST00189,2025-05-13,140,9,5900.65,2,3,5,10,Loyal Customers
CUST00190,2025-09-24,6,1,482.88,5,1,1,7,At Risk
CUST00191,2025-09-02,28,1,149.0,4,1,1,6,At Risk
CUST00192,2025-08-06,55,3,2263.95,3,1,3,7,At Risk
CUST00193,2025-04-26,157,1,424.74,1,1,1,3,Lost Customers
CUST00194,2025-07-12,80,5,3878.09,3,2,4,9,Potential Loyalists
CUST00195,2025-09-07,23,1,654.27,4,1,1,6,At Risk
CUST00196,2025-09-06,24,2,1272.38,4,1,2,7,At Risk
CUST00197,2025-09-15,15,9,8552.59,5,3,5,13,Champions
CUST00198,2025-08-24,37,9,7595.96,4,3,5,12,Loyal Customers
CUST00199,2025-09-24,6,4,3273.56,5,1,4,10,Loyal Customers
CUST00200,2025-09-15,15,6,6239.45,5,2,5,12,Loyal Customers
CUST00201,2025-06-29,93,7,6691.56,2,2,5,9,Potential Loyalists
CUST00202,2025-05-12,141,1,1220.26,2,1,2,5,Lost Customers
CUST00203,2025-06-08,114,2,743.3499999999999,2,1,1,4,Lost Customers
CUST00204,2025-08-19,42,5,2706.75,4,2,4,10,Loyal Customers
CUST00205,2025-08-31,30,5,3202.69,4,2,4,10,Loyal Customers
CUST00206,2025-06-04,118,10,6479.7,2,3,5,10,Loyal Customers
CUST00207,2025-09-12,18,1,193.1,5,1,1,7,At Risk
CUST00208,2025-07-01,91,6,6865.35,2,2,5,9,Potential Loyalists
CUST00209,2024-12-25,279,5,3422.88,1,2,4,7,At Risk
CUST00210,2025-05-25,128,2,1254.8700000000001,2,1,2,5,Lost Customers
CUST00211,2025-07-02,90,5,27215.920000000002,2,2,5,9,Potential Loyalists
CUST00212,2025-03-10,204,3,2071.6800000000003,1,1,3,5,Lost Customers
CUST00213,2025-07-06,86,2,1680.61,2,1,3,6,At Risk
CUST00214,2025-07-28,64,1,1427.16,3,1,2,6,At Risk
CUST00215,2025-08-27,34,3,1564.1,4,1,3,8,Potential Loyalists
CUST00216,2025-08-13,48,1,1349.42,3,1,2,6,At Risk
CUST00217,2025-07-13,79,3,1179.94,3,1,2,6,At Risk
CUST00218,2025-09-07,23,2,1492.68,4,1,2,7,At Risk
CUST00219,2025-04-29,154,6,2782.79,1,2,4,7,At Risk
CUST00220,2025-09-05,25,3,1450.4099999999999,4,1,2,7,At Risk
CUST00221,2025-09-23,7,2,781.03,5,1,2,8,Potential Loyalists
CUST00222,2025-03-28,186,2,1259.5,1,1,2,4,Lost Customers
CUST00223,2025-06-19,103,1,757.58,2,1,1,4,Lost Customers
CUST00224,2025-07-03,89,2,1839.95,2,1,3,6,At Risk
CUST00225,2025-07-04,88,3,3012.6,2,1,4,7,At Risk
CUST00226,2025-08-07,54,3,2345.42,3,1,3,7,At Risk
CUST00227,2025-04-30,153,6,4383.02,1,2,5,8,Potential Loyalists
CUST00228,2025-07-10,82,7,4150.72,3,2,5,10,Loyal Customers
CUST00229,2025-06-30,92,5,3077.41,2,2,4,8,Potential Loyalists
CUST00230,2025-08-24,37,8,7503.74,4,3,5,12,Loyal Customers
CUST00231,2025-09-07,23,3,1558.41,4,1,3,8,Potential Loyalists
CUST00232,2025-08-06,55,1,786.26,3,1,2,6,At Risk
CUST00233,2024-10-04,361,3,1626.9899999999998,1,1,3,5,Lost Customers
CUST00234,2025-09-13,17,4,2458.9700000000003,5,1,3,9,Potential Loyalists
CUST00235,2025-05-28,125,4,2278.82,2,1,3,6,At Risk
CUST00236,2025-07-30,62,1,782.89,3,1,2,6,At Risk
CUST00237,2025-09-15,15,4,3607.29,5,1,4,10,Loyal Customers
CUST00238,2025-07-14,78,2,2181.78,3,1,3,7,At Risk
CUST00239,2024-11-14,320,1,208.1,1,1,1,3,Lost Customers
CUST00240,2025-08-05,56,2,2277.31,3,1,3,7,At Risk
CUST00241,2025-09-24,6,3,3041.48,5,1,4,10,Loyal Customers
CUST00242,2025-07-10,82,6,3655.25,3,2,4,9,Potential Loyalists
CUST00243,2025-07-23,69,4,3129.06,3,1,4,8,Potential Loyalists
CUST00244,2025-05-09,144,2,2449.86,2,1,3,6,At Risk
CUST00245,2025-07-19,73,2,1245.78,3,1,2,6,At Risk
CUST00246,2025-08-09,52,3,1985.72,3,1,3,7,At Risk
CUST00247,2025-08-04,57,11,5611.35,3,4,5,12,Loyal Customers
CUST00248,2025-07-21,71,7,4187.5599999999995,3,2,5,10,Loyal Customers
CUST00249,2025-04-21,162,3,1761.46,1,1,3,5,Lost Customers
CUST00250,2025-08-26,35,1,837.19,4,1,2,7,At Risk
CUST00251,2025-08-20,41,1,966.73,4,1,2,7,At Risk
CUST00252,2025-03-24,190,6,5194.02,1,2,5,8,Potential Loyalists
CUST00253,2025-03-23,191,3,1901.1299999999999,1,1,3,5,Lost Customers
CUST00254,2025-03-31,183,4,3041.57,1,1,4,6,At Risk
CUST00255,2025-09-08,22,6,4806.29,4,2,5,11,Loyal Customers
CUST00256,2025-04-02,181,2,1727.8400000000001,1,1,3,5,Lost Customers
CUST00257,2025-08-06,55,2,1042.47,3,1,2,6,At Risk
CUST00258,2025-08-19,42,10,6259.64,4,3,5,12,Loyal Customers
CUST00259,2025-03-22,192,1,1519.33,1,1,2,4,Lost Customers
CUST00260,2025-09-28,2,2,1820.81,5,1,3,9,Potential Loyalists
CUST00261,2025-08-10,51,1,350.44,3,1,1,5,Lost Customers
CUST00262,2025-09-21,9,2,1318.44,5,1,2,8,Potential Loyalists
CUST00263,2025-09-05,25,12,7940.0,4,4,5,13,Champions
CUST00264,2025-08-30,31,2,671.0999999999999,4,1,1,6,At Risk
CUST00265,2025-07-15,77,1,510.24,3,1,1,5,Lost Customers
CUST00266,2025-04-25,158,4,5306.62,1,1,5,7,At Risk
CUST00267,2025-09-01,29,4,4026.2300000000005,4,1,4,9,Potential Loyalists
CUST00268,2025-09-21,9,3,2097.02,5,1,3,9,Potential Loyalists
CUST00269,2025-08-31,30,3,2563.9300000000003,4,1,4,9,Potential Loyalists
CUST00270,2025-07-17,75,2,968.72,3,1,2,6,At Risk
CUST00271,2025-08-29,32,4,3933.98,4,1,4,9,Potential Loyalists
CUST00272,2025-09-18,12,13,13721.27,5,4,5,14,Champions
CUST00273,2025-09-17,13,8,6009.55,5,3,5,13,Champions
CUST00274,2025-07-21,71,1,695.0,3,1,1,5,Lost Customers
CUST00275,2025-02-01,241,6,3879.21,1,2,4,7,At Risk
CUST00276,2025-08-14,47,6,8721.42,3,2,5,10,Loyal Customers
CUST00277,2025-09-28,2,3,1630.27,5,1,3,9,Potential Loyalists
CUST00278,2025-07-23,69,4,2768.06,3,1,4,8,Potential Loyalists
CUST00279,2025-09-18,12,8,5366.55,5,3,5,13,Champions
CUST00280,2025-09-20,10,8,7231.759999999999,5,3,5,13,Champions
CUST00281,2025-08-26,35,2,1161.06,4,1,2,7,At Risk
CUST00282,2024-12-08,296,2,774.76,1,1,1,3,Lost Customers
CUST00283,2025-09-12,18,10,7871.0,5,3,5,13,Champions
CUST00284,2024-12-13,291,2,781.62,1,1,2,4,Lost Customers
CUST00285,2025-09-17,13,4,2158.18,5,1,3,9,Potential Loyalists
CUST00286,2024-09-26,369,2,2027.25,1,1,3,5,Lost Customers
CUST00287,2025-07-23,69,6,6236.95,3,2,5,10,Loyal Customers
CUST00288,2025-06-12,110,2,1096.1,2,1,2,5,Lost Customers
CUST00289,2025-09-25,5,2,811.06,5,1,2,8,Potential Loyalists
CUST00290,2025-09-21,9,1,251.16,5,1,1,7,At Risk
CUST00291,2025-08-03,58,9,5604.34,3,3,5,11,Loyal Customers
CUST00292,2025-08-18,43,1,657.91,4,1,1,6,At Risk
CUST00293,2025-02-12,230,3,1699.71,1,1,3,5,Lost Customers
CUST00294,2025-06-20,102,1,1714.42,2,1,3,6,At Risk
CUST00295,2025-09-14,16,2,2000.29,5,1,3,9,Potential Loyalists
CUST00296,2025-05-21,132,4,1989.83,2,1,3,6,At Risk
CUST00297,2025-04-29,154,1,1130.29,1,1,2,4,Lost Customers
CUST00298,2025-03-13,201,1,1122.99,1,1,2,4,Lost Customers
CUST00299,2024-10-22,343,4,2302.1800000000003,1,1,3,5,Lost Customers
CUST00300,2025-09-25,5,4,2276.6099999999997,5,1,3,9,Potential Loyalists
CUST00301,2025-09-21,9,7,7023.07,5,2,5,12,Loyal Customers
CUST00302,2025-05-05,148,4,2534.0,1,1,3,5,Lost Customers
CUST00303,2025-08-13,48,5,3674.2,3,2,4,9,Potential Loyalists
CUST00304,2025-07-05,87,3,2837.27,2,1,4,7,At Risk
CUST00305,2025-04-17,166,1,531.59,1,1,1,3,Lost Customers
CUST00306,2025-09-11,19,5,3658.35,5,2,4,11,Loyal Customers
CUST00307,2025-08-29,32,3,2114.17,4,1,3,8,Potential Loyalists
CUST00308,2025-07-26,66,2,1535.15,3,1,2,6,At Risk
CUST00309,2025-09-22,8,3,2731.6099999999997,5,1,4,10,Loyal Customers
CUST00310,2025-09-08,22,1,578.27,4,1,1,6,At Risk
CUST00311,2025-08-13,48,1,1336.82,3,1,2,6,At Risk
CUST00312,2025-07-28,64,1,486.27,3,1,1,5,Lost Customers
CUST00313,2025-04-21,162,1,769.77,1,1,1,3,Lost Customers
CUST00314,2025-09-14,16,1,560.98,5,1,1,7,At Risk
CUST00315,2025-09-13,17,10,10137.960000000001,5,3,5,13,Champions
CUST00316,2025-06-25,97,2,1079.82,2,1,2,5,Lost Customers
CUST00317,2025-06-22,100,1,1353.24,2,1,2,5,Lost Customers
CUST00318,2025-08-14,47,5,5959.01,3,2,5,10,Loyal Customers
CUST00319,2025-05-06,147,6,2585.4700000000003,2,2,4,8,Potential Loyalists
CUST00320,2025-09-05,25,7,5001.34,4,2,5,11,Loyal Customers
CUST00321,2025-06-06,116,6,3100.54,2,2,4,8,Potential Loyalists
CUST00322,2025-09-26,4,5,3351.86,5,2,4,11,Loyal Customers
CUST00323,2025-09-25,5,8,7225.06,5,3,5,13,Champions
CUST00324,2024-12-30,274,4,6039.5599999999995,1,1,5,7,At Risk
CUST00325,2025-08-17,44,3,3542.89,4,1,4,9,Potential Loyalists
CUST00326,2025-05-29,124,3,1868.65,2,1,3,6,At Risk
CUST00327,2025-09-28,2,3,1087.67,5,1,2,8,Potential Loyalists
CUST00328,2024-11-12,322,1,371.68,1,1,1,3,Lost Customers
CUST00329,2025-09-29,1,1,299.28,5,1,1,7,At Risk
CUST00330,2025-07-18,74,3,1307.8000000000002,3,1,2,6,At Risk
CUST00331,2025-05-02,151,5,3450.66,1,2,4,7,At Risk
CUST00332,2025-09-06,24,2,2059.8,4,1,3,8,Potential Loyalists
CUST00333,2025-07-17,75,1,870.15,3,1,2,6,At Risk
CUST00334,2025-07-07,85,3,2170.31,3,1,3,7,At Risk
CUST00335,2025-05-05,148,3,2480.1,1,1,3,5,Lost Customers
CUST00336,2025-09-01,29,4,1900.82,4,1,3,8,Potential Loyalists
CUST00337,2025-09-23,7,2,1887.73,5,1,3,9,Potential Loyalists
CUST00338,2025-09-18,12,1,887.38,5,1,2,8,Potential Loyalists
CUST00339,2025-06-30,92,4,2671.88,2,1,4,7,At Risk
CUST00340,2025-08-15,46,8,5565.53,4,3,5,12,Loyal Customers
CUST00341,2025-09-11,19,1,790.16,5,1,2,8,Potential Loyalists
CUST00342,2025-09-29,1,3,2620.58,5,1,4,10,Loyal Customers
CUST00343,2025-06-28,94,5,2489.52,2,2,3,7,At Risk
CUST00344,2025-03-25,189,5,4461.57,1,2,5,8,Potential Loyalists
CUST00345,2025-09-27,3,5,5510.36,5,2,5,12,Loyal Customers
CUST00346,2025-07-20,72,11,10011.3,3,4,5,12,Loyal Customers
CUST00347,2025-03-30,184,4,3311.46,1,1,4,6,At Risk
CUST00348,2025-09-29,1,3,2509.74,5,1,3,9,Potential Loyalists
CUST00349,2025-07-18,74,4,3794.38,3,1,4,8,Potential Loyalists
CUST00350,2025-08-20,41,1,537.51,4,1,1,6,At Risk
CUST00351,2025-09-21,9,7,7447.2,5,2,5,12,Loyal Customers
CUST00352,2025-09-03,27,1,1000.77,4,1,2,7,At Risk
CUST00353,2025-06-04,118,4,1755.1200000000001,2,1,3,6,At Risk
CUST00354,2025-08-25,36,5,2894.64,4,2,4,10,Loyal Customers
CUST00355,2025-04-12,171,4,3405.2,1,1,4,6,At Risk
CUST00356,2025-09-23,7,5,2474.34,5,2,3,10,Loyal Customers
CUST00357,2025-08-19,42,1,513.15,4,1,1,6,At Risk
CUST00358,2025-06-21,101,2,1523.3600000000001,2,1,2,5,Lost Customers
CUST00359,2025-09-27,3,8,6332.549999999999,5,3,5,13,Champions
CUST00360,2025-09-28,2,6,8052.9800000000005,5,2,5,12,Loyal Customers
CUST00361,2025-04-14,169,1,361.04,1,1,1,3,Lost Customers
CUST00362,2025-09-07,23,4,2137.19,4,1,3,8,Potential Loyalists
CUST00363,2025-09-03,27,1,413.99,4,1,1,6,At Risk
CUST00364,2024-10-06,359,3,2049.88,1,1,3,5,Lost Customers
CUST00365,2025-04-25,158,1,1015.06,1,1,2,4,Lost Customers
CUST00366,2025-06-30,92,4,5279.17,2,1,5,8,Potential Loyalists
CUST00367,2025-03-02,212,1,884.81,1,1,2,4,Lost Customers
CUST00368,2025-08-06,55,1,348.81,3,1,1,5,Lost Customers
CUST00369,2025-07-21,71,3,2263.62,3,1,3,7,At Risk
CUST00370,2025-04-11,172,1,452.14,1,1,1,3,Lost Customers
CUST00371,2025-05-29,124,3,2631.54,2,1,4,7,At Risk
CUST00372,2025-08-05,56,1,431.11,3,1,1,5,Lost Customers
CUST00373,2025-07-19,73,2,1612.8899999999999,3,1,3,7,At Risk
CUST00374,2025-02-23,219,2,795.8299999999999,1,1,2,4,Lost Customers
CUST00375,2025-07-07,85,6,3564.29,3,2,4,9,Potential Loyalists
